Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lauren Cox,LAS,F,15,210,15,0,14,1.3,3.1,0.413,0.1,0.3,0.2,1.2,2.7,0.439,0.9,1.2,0.778,0.7,3.7,0.6,0.7,0.9,0.6,1.3,3.5
Karlie Samuelson,SEA,F,3,32,3,0,10.7,1,3.3,0.3,0.3,2.7,0.125,0.7,0.7,1,0.7,0.7,1,0,0.3,0.7,0,0,1,0.3,3
Candice Dupree,ATL,F,10,203,10,4,20.3,3.3,7.6,0.434,0,0.3,0,3.3,7.3,0.452,0.7,1.1,0.636,0.7,3.8,0.6,0.5,0.2,0.9,0.8,7.3
Bria Holmes,LVA,G,2,6,2,0,3,0,0.5,0,0,0,,0,0.5,0,0,0,,0,1,0,0,0,0.5,0,0
Natalie Achonwa,IND,F,18,364,18,11,20.2,3.2,6.4,0.496,0,0.6,0,3.2,5.8,0.543,1.4,1.8,0.813,1.4,5.5,1.7,0.5,0.6,1.8,2.6,7.8
Jaylyn Agnew,ATL,F,12,71,12,0,5.9,0.3,1.3,0.267,0.3,1.1,0.231,0.1,0.2,0.5,0.3,0.4,0.8,0,0.4,0.3,0,0,0.4,0.6,1.3
Bella Alarie,DAL,C-F,22,309,22,3,14,1.1,3,0.364,0,0.6,0.077,1,2.4,0.434,0.5,0.5,0.833,1,2.9,0.5,0.6,0.8,0.5,1.6,2.7
Kayla Alexander,MIN,C,16,89,16,0,5.6,1,1.9,0.533,0,0,,1,1.9,0.533,0.3,0.5,0.625,0.6,0.9,0.2,0.1,0.2,0.4,0.9,2.3
Julie Allemand,IND,G,22,716,22,22,32.5,2.8,6.1,0.455,2,4.2,0.478,0.8,1.9,0.405,1,1.4,0.733,0.4,4.5,5.8,1.1,0.4,2.6,2.6,8.5
Lindsay Allen,LVA,G,21,284,21,21,13.5,1.3,3.1,0.424,0.3,0.8,0.353,1,2.3,0.449,0.4,0.5,0.8,0.3,1.1,2.4,0.3,0,0.8,1,3.3
